latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.23551,-40.23385,308.84,1.02,1.01,2022-04-14 00:00:00,109,T,76,6.1NRT,294.23,6.14,N
-20.23684,-40.24362,319.2,1.02,1.01,2022-04-14 00:00:00,109,T,98,6.1NRT,293.99,14.92,N
6.19592,-68.16314,312.59,1.07,1.03,2022-04-14 00:00:00,258,T,83,6.1NRT,295.83,9.8,N
6.20778,-68.14534,311.15,1.07,1.03,2022-04-14 00:00:00,258,T,79,6.1NRT,296.56,8.29,N
7.04572,-71.14655,307.05,1.04,1.02,2022-04-14 00:00:00,258,T,70,6.1NRT,287.79,7.35,N
7.04439,-71.1559,307.5,1.05,1.02,2022-04-14 00:00:00,258,T,72,6.1NRT,287.87,7.63,N
7.05291,-71.15384,300.09,1.04,1.02,2022-04-14 00:00:00,258,T,16,6.1NRT,287.87,3.19,N
10.05195,-64.86983,314.65,1.91,1.35,2022-04-14 00:00:00,258,T,90,6.1NRT,292.79,28.83,N
10.06411,-64.87106,311.84,1.91,1.35,2022-04-14 00:00:00,258,T,83,6.1NRT,292.77,22.37,N
10.21157,-64.62578,303.08,2.01,1.38,2022-04-14 00:00:00,258,T,53,6.1NRT,292.62,10.19,N
10.21608,-64.61388,304.94,2.02,1.38,2022-04-14 00:00:00,258,T,45,6.1NRT,292.58,12.27,N
-0.11199,-91.20566,316.46,1.1,1.05,2022-04-14 00:00:00,434,T,29,6.1NRT,278.7,18.95,N
-0.10405,-91.21701,307.94,1.1,1.05,2022-04-14 00:00:00,434,T,27,6.1NRT,276.69,13.0,N
-28.91607,-56.35526,306.02,1.01,1.01,2022-04-14 00:00:00,1344,T,63,6.1NRT,295.02,5.36,D
-31.79699,-52.23537,320.09,1.34,1.15,2022-04-14 00:00:00,1344,T,0,6.1NRT,294.96,24.62,D
-31.43245,-58.0753,303.76,1.07,1.03,2022-04-14 00:00:00,1344,T,0,6.1NRT,292.77,4.13,D
-1.55674,-48.73524,314.13,1.01,1.01,2022-04-14 00:00:00,1338,T,54,6.1NRT,295.46,6.28,D
10.57939,-62.83668,311.24,3.3,1.72,2022-04-14 00:00:00,1512,T,39,6.1NRT,291.81,27.52,D
10.06283,-64.88727,334.85,2.33,1.48,2022-04-14 00:00:00,1512,T,85,6.1NRT,296.34,83.7,D
10.05929,-64.86655,335.58,2.34,1.48,2022-04-14 00:00:00,1512,T,88,6.1NRT,297.11,88.34,D
10.06255,-64.8715,328.92,2.34,1.48,2022-04-14 00:00:00,1512,T,64,6.1NRT,297.23,56.71,D
10.05287,-64.8949,320.16,2.33,1.48,2022-04-14 00:00:00,1512,T,24,6.1NRT,295.71,29.01,D
10.04946,-64.87404,321.92,2.34,1.48,2022-04-14 00:00:00,1512,T,42,6.1NRT,295.47,34.5,D
7.0446,-71.15427,323.99,1.04,1.02,2022-04-14 00:00:00,1514,T,73,6.1NRT,292.0,15.4,D
6.19868,-68.14694,328.92,1.54,1.22,2022-04-14 00:00:00,1514,T,0,6.1NRT,299.34,27.66,D
6.19417,-68.18948,365.66,1.53,1.22,2022-04-14 00:00:00,1514,T,87,6.1NRT,301.18,167.49,D
6.19204,-68.17587,351.09,1.53,1.22,2022-04-14 00:00:00,1514,T,83,6.1NRT,300.87,96.01,D
6.18543,-68.20467,339.73,1.52,1.22,2022-04-14 00:00:00,1514,T,88,6.1NRT,297.39,58.65,D
6.1833,-68.19111,370.4,1.53,1.22,2022-04-14 00:00:00,1514,T,100,6.1NRT,299.76,197.21,D
6.18107,-68.1972,352.85,1.53,1.22,2022-04-14 00:00:00,1514,T,96,6.1NRT,298.12,106.0,D
6.17903,-68.18359,325.43,1.53,1.22,2022-04-14 00:00:00,1514,T,71,6.1NRT,299.37,20.37,D
10.92346,-85.67535,310.42,4.54,1.96,2022-04-14 00:00:00,1652,T,33,6.1NRT,283.28,38.85,D
10.05902,-64.87053,314.74,3.05,1.66,2022-04-15 00:00:00,202,T,90,6.1NRT,290.53,58.66,N
10.05454,-64.8976,314.58,3.06,1.66,2022-04-15 00:00:00,202,T,89,6.1NRT,290.13,58.84,N
10.05874,-64.87595,316.87,3.05,1.66,2022-04-15 00:00:00,202,T,94,6.1NRT,290.38,69.15,N
10.05409,-64.90289,308.63,3.06,1.66,2022-04-15 00:00:00,202,T,75,6.1NRT,289.81,36.93,N
-3.57639,-38.86525,314.76,1.24,1.11,2022-04-15 00:00:00,1242,T,53,6.1NRT,294.18,7.08,D
-33.79572,-59.28072,301.65,2.45,1.51,2022-04-15 00:00:00,1429,T,0,6.1NRT,291.44,12.81,D
0.07006,-80.04858,311.74,1.6,1.25,2022-04-15 00:00:00,1558,T,0,6.1NRT,292.95,11.07,D
11.7404,-70.1997,344.32,1.16,1.07,2022-04-16 00:00:00,245,T,100,6.1NRT,289.5,64.09,N
-0.12317,-91.19418,356.82,1.04,1.02,2022-04-16 00:00:00,419,T,100,6.1NRT,287.05,82.39,N
-0.12447,-91.20338,325.72,1.04,1.02,2022-04-16 00:00:00,419,T,100,6.1NRT,284.58,24.35,N
-0.11404,-91.19547,362.62,1.04,1.02,2022-04-16 00:00:00,419,T,100,6.1NRT,291.08,98.44,N
-0.11534,-91.20468,376.08,1.04,1.02,2022-04-16 00:00:00,419,T,100,6.1NRT,298.06,145.09,N
-0.10622,-91.20596,315.12,1.04,1.02,2022-04-16 00:00:00,419,T,68,6.1NRT,286.56,13.79,N
-0.10751,-91.21513,311.34,1.04,1.02,2022-04-16 00:00:00,419,T,25,6.1NRT,288.23,10.51,N
10.89191,-85.70882,302.74,2.28,1.46,2022-04-16 00:00:00,423,T,36,6.1NRT,284.47,14.41,N
-4.94903,-36.9404,310.73,4.34,1.92,2022-04-16 00:00:00,1325,T,26,6.1NRT,290.35,48.53,D
-31.15074,-57.95136,326.22,1.48,1.2,2022-04-16 00:00:00,1333,T,0,6.1NRT,291.73,42.2,D
11.62745,-70.227,323.69,1.11,1.05,2022-04-16 00:00:00,1459,T,0,6.1NRT,297.63,8.93,D
10.05413,-64.88438,337.27,1.38,1.16,2022-04-16 00:00:00,1459,T,88,6.1NRT,297.45,44.03,D
-0.11682,-91.20444,367.97,1.52,1.22,2022-04-16 00:00:00,1641,T,75,6.1NRT,298.62,185.24,D
-22.9048,-43.73341,308.63,1.16,1.07,2022-04-17 00:00:00,139,T,58,6.1NRT,287.73,13.2,N
-20.23512,-40.249,303.88,2.16,1.43,2022-04-17 00:00:00,139,T,57,6.1NRT,291.17,16.18,N
-38.0536,-71.05981,308.15,1.27,1.12,2022-04-17 00:00:00,315,T,74,6.1NRT,278.3,18.17,N
-38.05533,-71.076,320.85,1.27,1.12,2022-04-17 00:00:00,315,T,100,6.1NRT,280.57,32.79,N
-8.38941,-35.02772,314.16,1.04,1.02,2022-04-17 00:00:00,1232,T,34,6.1NRT,296.96,7.17,D
-16.04617,-60.23092,348.47,1.0,1.0,2022-04-17 00:00:00,1412,T,95,6.1NRT,301.78,53.39,D
-16.04753,-60.22163,323.9,1.0,1.0,2022-04-17 00:00:00,1412,T,79,6.1NRT,298.2,15.65,D
