latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-20.23551,-40.23385,308.84,1.02,1.01,2022-04-14,0109,T,76,6.1NRT,294.23,6.14,N
-20.23684,-40.24362,319.2,1.02,1.01,2022-04-14,0109,T,98,6.1NRT,293.99,14.92,N
-19.17959,-40.10115,307.4,1.01,1,2022-04-14,0109,T,71,6.1NRT,292.09,6.5,N
-18.41339,-40.00769,303.66,1,1,2022-04-14,0109,T,56,6.1NRT,292.97,3.94,N
-18.41471,-40.01715,304.79,1,1,2022-04-14,0109,T,62,6.1NRT,292.84,4.66,N
-16.96996,-42.23721,301.46,1.13,1.06,2022-04-14,0109,T,41,6.1NRT,290.68,4.44,N
-16.97132,-42.24773,306.77,1.13,1.06,2022-04-14,0109,T,69,6.1NRT,290.68,8.25,N
-14.64964,-50.49849,301.75,4.03,1.86,2022-04-14,0111,T,44,6.1NRT,285.24,27.85,N
-12.93691,-44.35236,308.38,1.32,1.14,2022-04-14,0111,T,74,6.1NRT,287.25,12.52,N
-12.93845,-44.36449,300.17,1.32,1.14,2022-04-14,0111,T,11,6.1NRT,286.55,5.29,N
-12.92666,-44.35377,323.94,1.32,1.14,2022-04-14,0111,T,100,6.1NRT,288.18,31.33,N
-12.91791,-44.34848,301.06,1.32,1.14,2022-04-14,0111,T,26,6.1NRT,287.26,5.87,N
-12.91951,-44.36057,306.75,1.32,1.14,2022-04-14,0111,T,69,6.1NRT,287.33,10.97,N
-11.23794,-38.28506,304.22,1.24,1.11,2022-04-14,0111,T,57,6.1NRT,293.41,5.88,N
-10.06485,-37.78046,305.93,1.39,1.17,2022-04-14,0111,T,64,6.1NRT,294.14,8.62,N
-10.38814,-42.68484,305.34,1.04,1.02,2022-04-14,0111,T,63,6.1NRT,284.8,7.8,N
-8.15281,-44.60109,302.74,1.2,1.09,2022-04-14,0113,T,51,6.1NRT,289.85,6.03,N
-5.39114,-43.1063,318.04,1.01,1,2022-04-14,0113,T,96,6.1NRT,293.98,14.7,N
-5.39241,-43.11533,312.66,1.01,1,2022-04-14,0113,T,85,6.1NRT,293.73,10.1,N
-15.78825,-71.86153,308.84,2.33,1.48,2022-04-14,0249,T,76,6.1NRT,265.16,52.4,N
-12.1128,-57.42367,300.79,3.05,1.66,2022-04-14,0249,T,33,6.1NRT,287.92,16.6,N
-12.11408,-57.42902,301.77,3.05,1.66,2022-04-14,0249,T,44,6.1NRT,287.99,19.89,N
-12.90913,-65.8414,303.34,1,1,2022-04-14,0249,T,40,6.1NRT,280.49,6.24,N
-11.06054,-60.87742,308.93,1.74,1.29,2022-04-14,0251,T,76,6.1NRT,285.92,18.47,N
-11.06309,-60.89314,309.75,1.73,1.29,2022-04-14,0251,T,78,6.1NRT,286.05,19.76,N
-9.58441,-62.45668,301.09,1.42,1.18,2022-04-14,0251,T,30,6.1NRT,283.87,6.41,N
5.58857,-65.9401,310.3,1.37,1.16,2022-04-14,0256,T,80,6.1NRT,292.94,12.64,N
6.29997,-63.40553,304.15,2.18,1.43,2022-04-14,0256,T,59,6.1NRT,290.25,14.94,N
6.29744,-63.4251,303.17,2.17,1.43,2022-04-14,0256,T,54,6.1NRT,290.18,13.24,N
5.46735,-70.98355,303.28,1.06,1.03,2022-04-14,0256,T,52,6.1NRT,292,3.55,N
5.8622,-68.45585,306.65,1.04,1.02,2022-04-14,0256,T,61,6.1NRT,294.97,5.57,N
5.56578,-70.67981,309.03,1.03,1.02,2022-04-14,0256,T,75,6.1NRT,288.83,7.54,N
5.56445,-70.68904,312.72,1.04,1.02,2022-04-14,0256,T,85,6.1NRT,288.83,10.38,N
5.57487,-70.68113,306.67,1.03,1.02,2022-04-14,0256,T,67,6.1NRT,288.46,6.04,N
5.57354,-70.69037,302.1,1.04,1.02,2022-04-14,0256,T,22,6.1NRT,288.65,3.15,N
5.65668,-71.32211,305.52,1.08,1.04,2022-04-14,0258,T,65,6.1NRT,291.27,6.11,N
6.19592,-68.16314,312.59,1.07,1.03,2022-04-14,0258,T,83,6.1NRT,295.83,9.8,N
6.20778,-68.14534,311.15,1.07,1.03,2022-04-14,0258,T,79,6.1NRT,296.56,8.29,N
